transitivity,number of components,average degree,diameter,label
0.007249879168680522,223,1.91796875,19,real
0.0029940119760479044,213,1.916015625,21,real
0.0013157894736842105,187,2.03125,20,real
0.005519779208831647,207,1.96875,20,real
0.0012620950778291964,178,2.1171875,19,real
0.0028182245185533112,203,1.955078125,22,real
0.00391304347826087,185,2.0546875,21,real
0.008674698795180723,189,1.97265625,21,real
0.004166666666666667,207,1.984375,19,real
0.0013863216266173752,191,2.00390625,22,real
0.0028116213683223993,198,1.982421875,22,real
0.003097573567372225,212,1.89453125,21,real
0.007978723404255319,207,1.873046875,24,real
0.004724409448818898,217,1.880859375,21,real
0.005873715124816446,216,1.91796875,19,real
0.0027149321266968325,195,2.00390625,22,real
0,207,1.935546875,23,real
0.005714285714285714,198,1.96875,21,real
0.0013729977116704805,187,2.01171875,19,real
0.004,187,2.0234375,18,real
0.0013673655423883319,208,1.984375,21,real
0.004001778568252557,198,2.00390625,20,real
0.0104425658876181,206,1.9296875,28,real
0.004253308128544423,201,1.9765625,20,real
0.002909796314258002,198,1.9453125,25,real
0.0016051364365971107,220,1.857421875,21,real
0.007194244604316547,180,1.98828125,20,real
0.0056657223796034,196,1.98046875,21,real
0.001447178002894356,214,1.9375,23,real
0,189,1.986328125,20,real
0.002939735423811857,199,1.9609375,23,real
0.001594048884165781,214,1.884765625,24,real
0.0015045135406218655,202,1.9375,25,real
0.005284015852047556,174,2.05078125,24,real
0,197,1.9296875,21,real
0,192,1.978515625,24,real
0.002939735423811857,192,1.9375,19,real
0.0015495867768595042,219,1.890625,22,real
0,175,2.0390625,17,real
0.0043457267020762915,226,1.9140625,20,real
0.0040178571428571425,186,2.009765625,20,real
0.002748511223087494,179,2.00390625,24,real
0.001403180542563143,191,2.0,23,real
0.001379310344827586,175,2.025390625,19,real
0.0013959981386691485,187,1.990234375,21,real
0.006963788300835654,194,2.001953125,24,real
0.0014245014245014246,200,1.974609375,20,real
0.005752636625119847,208,1.943359375,20,real
0.0016750418760469012,205,1.841796875,24,real
0.0025499362515937103,193,2.03515625,21,real
0.004176334106728539,194,1.998046875,24,real
0.00716674629718108,188,1.984375,20,real
0.004620123203285421,194,1.923828125,22,real
0.006352567496029645,199,1.87890625,23,real
0.00767590618336887,176,2.078125,19,real
0.0027945971122496508,191,1.974609375,22,real
0.006938020351526364,196,1.99609375,22,real
0.004979253112033195,165,2.099609375,21,real
0.0026200873362445414,189,2.033203125,25,real
0.001665741254858412,204,1.849609375,22,real
0.006662965019433648,220,1.849609375,23,real
0,212,1.921875,20,real
0.004016064257028112,189,1.998046875,24,real
0.005905511811023622,176,2.138671875,20,real
0.007796257796257797,209,1.888671875,21,real
0.007190795781399808,192,1.986328125,18,real
0.0031628887717448603,210,1.8671875,29,real
0,192,1.96484375,25,real
0.004072398190045249,167,2.046875,23,real
0.0014655593551538837,200,1.958984375,21,real
0,190,2.00390625,21,real
0.004293893129770993,209,1.9375,22,real
0.0014499758337361043,197,1.953125,22,real
0.0026954177897574125,194,1.994140625,23,real
0.0014713094654242277,200,1.951171875,20,real
0.004381694255111977,213,1.919921875,19,real
0.0024813895781637717,174,2.115234375,19,real
0.0045871559633027525,208,1.890625,21,real
0.00744047619047619,179,1.96484375,23,real
0.003045685279187817,198,1.943359375,21,real
0.0027112516945323093,185,2.029296875,21,real
0.006996268656716418,201,1.97265625,19,real
0.0014641288433382138,192,1.95703125,23,real
0.0014499758337361043,175,1.9765625,22,real
0.005265467310223783,182,2.017578125,22,real
0,202,1.8984375,24,real
0.0052173913043478265,203,2.01953125,21,real
0,197,1.998046875,24,real
0.0028735632183908046,184,2.001953125,20,real
0.00606366851945427,205,1.9296875,20,real
0.00410958904109589,188,2.017578125,20,real
0.0028804608737397984,206,1.94140625,22,real
0.006091370558375634,227,1.8828125,21,real
0.0012825994014536127,176,2.0859375,19,real
0.0061570035915854285,198,1.919921875,24,real
0,208,1.921875,19,real
0.0015503875968992248,191,1.927734375,21,real
0.004076086956521739,195,2.0234375,18,real
0.0013799448022079118,186,2.00390625,19,real
0.004545454545454545,186,1.943359375,22,real
0.005314437555358724,183,2.0625,20,real
0.0015290519877675841,203,1.90625,21,real
0.003186404673393521,206,1.890625,22,real
0.004812834224598931,215,1.87109375,23,real
0.0014756517461878996,193,1.96875,23,real
0.005591798695246971,189,2.017578125,25,real
0.0012684989429175475,185,2.06640625,22,real
0.0027272727272727275,194,2.0078125,21,real
0.004,212,2.0,18,real
0.002965892239248641,205,1.935546875,21,real
